embassy_code,embassy_city,city_coordinates,visitor_visa,student_visa,all_other_nonimmigrant_visa,unknown_category_visa
P142,N Djamena,"{'lat': 12.1348457, 'lng': 15.0557415}",45 Days,45 Days,45 Days,45 Days
P142,N'Djamena,"{'lat': 12.1348457, 'lng': 15.0557415}",45 Days,45 Days,45 Days,45 Days
abidjan,Abidjan,"{'lat': 5.3599517, 'lng': -4.0082563}",281 Days,220 Days,15 Days,3 Days
P2,Abu Dhabi,"{'lat': 24.453884, 'lng': 54.3773438}",404 Days,332 Days,255 Days,2 Days
P3,Abuja,"{'lat': 9.0764785, 'lng': 7.398574}",786 Days,338 Days,140 Days,3 Days
P4,Accra,"{'lat': 5.6037168, 'lng': -0.1869644}",120 Days,88 Days,30 Days,5 Days
adana,Adana,"{'lat': 36.9914194, 'lng': 35.3308285}",Closed,Closed,Closed,Closed
P5,Addis Ababa,"{'lat': 8.9806034, 'lng': 38.7577605}",569 Days,7 Days,35 Days,2 Days
P6,Algiers,"{'lat': 36.753768, 'lng': 3.0587561}",177 Days,56 Days,21 Days,5 Days
P7,Almaty,"{'lat': 43.2220146, 'lng': 76.8512485}",14 Days,7 Days,7 Days,2 Days
P8,Amman,"{'lat': 31.9539494, 'lng': 35.910635}",386 Days,34 Days,2 Days,2 Days
P9,Amsterdam,"{'lat': 52.3675734, 'lng': 4.9041389}",255 Days,16 Days,23 Days,5 Days
P10,Ankara,"{'lat': 39.9333635, 'lng': 32.8597419}",135 Days,56 Days,93 Days,3 Days
P11,Antananarivo,"{'lat': -18.8791902, 'lng': 47.5079055}",5 Days,5 Days,5 Days,7 Days
P225,Apia,"{'lat': -13.8506958, 'lng': -171.7513551}",150 Days,30 Days,150 Days,1 Days
P12,Ashgabat,"{'lat': 37.9600766, 'lng': 58.32606289999999}",4 Days,4 Days,4 Days,4 Days
P13,Asmara,"{'lat': 15.3228767, 'lng': 38.9250517}",Same Day,Same Day,Same Day,Same Day
astana,Astana,"{'lat': 51.16052269999999, 'lng': 71.4703558}",1 Days,2 Days,1 Days,2 Days
P15,Asuncion,"{'lat': -25.2637399, 'lng': -57.57592599999999}",576 Days,30 Days,6 Days,7 Days
athens,Athens,"{'lat': 37.9838096, 'lng': 23.7275388}",444 Days,15 Days,45 Days,5 Days
P17,Auckland,"{'lat': -36.85088270000001, 'lng': 174.7644881}",17 Days,10 Days,31 Days,15 Days
P226,Baghdad,"{'lat': 33.315241, 'lng': 44.3660671}",Closed,Closed,Closed,Closed
P19,Baku,"{'lat': 40.40926169999999, 'lng': 49.8670924}",72 Days,2 Days,5 Days,2 Days
P20,Bamako,"{'lat': 12.6392316, 'lng': -8.0028892}",35 Days,7 Days,35 Days,5 Days
P21,Bandar Seri Begawan,"{'lat': 4.903052199999999, 'lng': 114.939821}",7 Days,7 Days,7 Days,7 Days
P22,Bangkok,"{'lat': 13.7563309, 'lng': 100.5017651}",10 Days,1 Days,2 Days,3 Days
banjul,Banjul,"{'lat': 13.454375, 'lng': -16.5753186}",115 Days,90 Days,100 Days,3 Days
barcelona,Barcelona,"{'lat': 41.3873974, 'lng': 2.168568}",Closed,Closed,Closed,Closed
P24,Beijing,"{'lat': 39.904211, 'lng': 116.407395}",2 Days,2 Days,3 Days,3 Days
P25,Beirut,"{'lat': 33.8937913, 'lng': 35.5017767}",261 Days,99 Days,8 Days,2 Days
P26,Belfast,"{'lat': 54.59728500000001, 'lng': -5.93012}",39 Days,18 Days,24 Days,2 Days
P27,Belgrade,"{'lat': 44.8125449, 'lng': 20.46123}",32 Days,2 Days,2 Days,2 Days
P28,Belmopan,"{'lat': 17.2510114, 'lng': -88.7590201}",97 Days,7 Days,48 Days,7 Days
P29,Berlin,"{'lat': 52.52000659999999, 'lng': 13.404954}",45 Days,3 Days,11 Days,10 Days
P30,Bern,"{'lat': 46.9479739, 'lng': 7.4474468}",17 Days,13 Days,16 Days,5 Days
P31,Bishkek,"{'lat': 42.8746212, 'lng': 74.5697617}",638 Days,28 Days,28 Days,4 Days
P32,Bogota,"{'lat': 4.710988599999999, 'lng': -74.072092}",857 Days,35 Days,16 Days,5 Days
P33,Brasilia,"{'lat': -15.7975154, 'lng': -47.89188739999999}",388 Days,2 Days,2 Days,2 Days
P34,Bratislava,"{'lat': 48.1485965, 'lng': 17.1077477}",21 Days,2 Days,21 Days,7 Days
P35,Brazzaville,"{'lat': -4.2633597, 'lng': 15.2428853}",118 Days,7 Days,118 Days,3 Days
P36,Bridgetown,"{'lat': 13.1059816, 'lng': -59.61317409999999}",63 Days,1 Days,1 Days,5 Days
P37,Brussels,"{'lat': 50.8476424, 'lng': 4.3571696}",50 Days,50 Days,50 Days,3 Days
P38,Bucharest,"{'lat': 44.4267674, 'lng': 26.1025384}",14 Days,2 Days,4 Days,3 Days
P39,Budapest,"{'lat': 47.497912, 'lng': 19.040235}",200 Days,50 Days,50 Days,5 Days
P40,Buenos Aires,"{'lat': -34.6036844, 'lng': -58.3815591}",300 Days,3 Days,3 Days,10 Days
P41,Bujumbura,"{'lat': -3.361378, 'lng': 29.3598782}",3 Days,3 Days,3 Days,2 Days
P42,Cairo,"{'lat': 30.0444196, 'lng': 31.2357116}",107 Days,5 Days,5 Days,10 Days
P43,Calgary,"{'lat': 51.04473309999999, 'lng': -114.0718831}",266 Days,5 Days,77 Days,10 Days
P44,Cape Town,"{'lat': -33.9248685, 'lng': 18.4240553}",143 Days,30 Days,135 Days,15 Days
P45,Caracas,"{'lat': 10.4805937, 'lng': -66.90360629999999}",Temporarily Closed,Temporarily Closed,Temporarily Closed,Temporarily Closed
P46,Casablanca,"{'lat': 33.5731104, 'lng': -7.589843399999999}",85 Days,10 Days,85 Days,3 Days
P47,Chengdu,"{'lat': 30.5722599, 'lng': 104.0665099}",Temporarily Closed,Temporarily Closed,Temporarily Closed,Temporarily Closed
P48,Chennai ( Madras),"{'lat': 13.0826802, 'lng': 80.2707184}",583 Days,423 Days,261 Days,10 Days
P49,Chiang Mai,"{'lat': 18.7883439, 'lng': 98.98530079999999}",7 Days,7 Days,7 Days,3 Days
P50,Chisinau,"{'lat': 47.0104529, 'lng': 28.8638103}",98 Days,7 Days,7 Days,7 Days
P51,Ciudad Juarez,"{'lat': 31.6903638, 'lng': -106.4245478}",648 Days,1 Days,1 Days,3 Days
P52,Colombo,"{'lat': 6.9270786, 'lng': 79.861243}",100 Days,4 Days,100 Days,4 Days
P53,Conakry,"{'lat': 9.641185499999999, 'lng': -13.5784012}",98 Days,98 Days,98 Days,7 Days
P54,Copenhagen,"{'lat': 55.6760968, 'lng': 12.5683371}",84 Days,11 Days,16 Days,7 Days
P55,Cotonou,"{'lat': 6.3702928, 'lng': 2.3912362}",168 Days,168 Days,168 Days,5 Days
P223,Curacao,"{'lat': 12.16957, 'lng': -68.99002}",28 Days,7 Days,28 Days,1 Days
P56,Dakar,"{'lat': 14.716677, 'lng': -17.4676861}",336 Days,25 Days,336 Days,5 Days
P57,Damascus,"{'lat': 33.5138073, 'lng': 36.2765279}",Temporarily Closed,Temporarily Closed,Temporarily Closed,Temporarily Closed
P58,Dar Es Salaam,"{'lat': -6.792354, 'lng': 39.2083284}",79 Days,64 Days,79 Days,3 Days
P59,Dhahran,"{'lat': 26.2361248, 'lng': 50.0393017}",109 Days,10 Days,10 Days,7 Days
P60,Dhaka,"{'lat': 23.810332, 'lng': 90.4125181}",545 Days,72 Days,43 Days,3 Days
P227,Dili,"{'lat': -8.5568557, 'lng': 125.5603143}",1 Days,1 Days,1 Days,2 Days
P61,Djibouti,"{'lat': 11.825138, 'lng': 42.590275}",6 Days,6 Days,6 Days,2 Days
P62,Doha,"{'lat': 25.2854473, 'lng': 51.53103979999999}",14 Days,4 Days,4 Days,3 Days
P63,Dubai,"{'lat': 25.2048493, 'lng': 55.2707828}",483 Days,155 Days,275 Days,5 Days
P64,Dublin,"{'lat': 53.3498053, 'lng': -6.2603097}",55 Days,1 Days,15 Days,10 Days
P65,Durban,"{'lat': -29.85868039999999, 'lng': 31.0218404}",79 Days,1 Days,23 Days,3 Days
P66,Dushanbe,"{'lat': 38.5597722, 'lng': 68.7870384}",45 Days,45 Days,45 Days,7 Days
erbil,Erbil,"{'lat': 36.190073, 'lng': 43.9930303}",250 Days,250 Days,250 Days,5 Days
P67,Florence,"{'lat': 43.7695604, 'lng': 11.2558136}",2 Days,5 Days,2 Days,3 Days
P68,Frankfurt,"{'lat': 50.1109221, 'lng': 8.6821267}",29 Days,7 Days,29 Days,7 Days
P69,Freetown,"{'lat': 8.4656765, 'lng': -13.2317225}",119 Days,15 Days,119 Days,7 Days
fukuoka,Fukuoka,"{'lat': 33.5901838, 'lng': 130.4016888}",30 Days,21 Days,21 Days,10 Days
P70,Gaborone,"{'lat': -24.6282079, 'lng': 25.9231471}",14 Days,14 Days,14 Days,2 Days
P71,Georgetown,"{'lat': 38.9097057, 'lng': -77.06535650000001}",93 Days,1 Days,8 Days,5 Days
P72,Guadalajara,"{'lat': 20.6596988, 'lng': -103.3496092}",724 Days,2 Days,2 Days,2 Days
P73,Guangzhou,"{'lat': 23.1290799, 'lng': 113.26436}",15 Days,4 Days,15 Days,2 Days
P74,Guatemala City,"{'lat': 14.6349149, 'lng': -90.5068824}",322 Days,5 Days,6 Days,2 Days
P75,Guayaquil,"{'lat': -2.1894128, 'lng': -79.8890662}",480 Days,135 Days,84 Days,3 Days
P76,Halifax,"{'lat': 44.6475811, 'lng': -63.5727683}",309 Days,8 Days,91 Days,3 Days
P77,Hamilton,"{'lat': 43.2557206, 'lng': -79.8711024}",120 Days,15 Days,60 Days,7 Days
P78,Hanoi,"{'lat': 21.0277644, 'lng': 105.8341598}",7 Days,1 Days,3 Days,1 Days
P79,Harare,"{'lat': -17.8216288, 'lng': 31.0492259}",70 Days,7 Days,7 Days,3 Days
P80,Havana,"{'lat': 23.1135925, 'lng': -82.3665956}",Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P81,Helsinki,"{'lat': 60.16985569999999, 'lng': 24.938379}",35 Days,7 Days,50 Days,5 Days
P82,Hermosillo,"{'lat': 29.0729673, 'lng': -110.9559192}",560 Days,1 Days,14 Days,1 Days
P83,Ho Chi Minh City,"{'lat': 10.8230989, 'lng': 106.6296638}",8 Days,6 Days,6 Days,2 Days
P84,Hong Kong,"{'lat': 22.3193039, 'lng': 114.1693611}",2 Days,2 Days,5 Days,10 Days
P85,Hyderabad,"{'lat': 17.385044, 'lng': 78.486671}",808 Days,409 Days,340 Days,3 Days
P86,Islamabad,"{'lat': 33.6844202, 'lng': 73.04788479999999}",414 Days,8 Days,9 Days,2 Days
P87,Istanbul,"{'lat': 41.0082376, 'lng': 28.9783589}",230 Days,79 Days,85 Days,7 Days
P88,Jakarta,"{'lat': -6.2087634, 'lng': 106.845599}",36 Days,8 Days,10 Days,2 Days
P89,Jeddah,"{'lat': 21.485811, 'lng': 39.19250479999999}",57 Days,2 Days,6 Days,3 Days
P90,Jerusalem,"{'lat': 31.768319, 'lng': 35.21371}",257 Days,63 Days,1 Days,2 Days
P91,Johannesburg,"{'lat': -26.2041028, 'lng': 28.0473051}",30 Days,30 Days,30 Days,10 Days
P228,Juba,"{'lat': 4.859363, 'lng': 31.57125}",Closed,Closed,Closed,Closed
P229,Kabul,"{'lat': 34.5553494, 'lng': 69.207486}",Closed,Closed,Closed,Closed
P93,Kampala,"{'lat': 0.3475964, 'lng': 32.5825197}",296 Days,4 Days,296 Days,3 Days
kaohsiung,Kaohsiung,"{'lat': 22.6350591, 'lng': 120.3355193}",Closed,Closed,Closed,Closed
P94,Karachi,"{'lat': 24.8607343, 'lng': 67.0011364}",319 Days,10 Days,30 Days,4 Days
P95,Kathmandu,"{'lat': 27.7172453, 'lng': 85.3239605}",377 Days,57 Days,7 Days,10 Days
P96,Khartoum,"{'lat': 15.5006544, 'lng': 32.5598994}",Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P97,Kigali,"{'lat': -1.9440727, 'lng': 30.0618851}",100 Days,8 Days,4 Days,5 Days
P98,Kingston,"{'lat': 51.41233, 'lng': -0.300689}",151 Days,18 Days,10 Days,3 Days
P99,Kinshasa,"{'lat': -4.4419311, 'lng': 15.2662931}",105 Days,100 Days,17 Days,2 Days
P100,Kolkata,"{'lat': 22.572646, 'lng': 88.36389500000001}",812 Days,444 Days,296 Days,10 Days
P101,Kolonia,"{'lat': 50.937531, 'lng': 6.9602786}",2 Days,2 Days,2 Days,2 Days
P102,Koror,"{'lat': 7.3410628, 'lng': 134.4771596}",60 Days,60 Days,60 Days,60 Days
P103,Krakow,"{'lat': 50.06465009999999, 'lng': 19.9449799}",10 Days,10 Days,10 Days,2 Days
P104,Kuala Lumpur,"{'lat': 3.1569486, 'lng': 101.712303}",42 Days,23 Days,16 Days,2 Days
P105,Kuwait,"{'lat': 29.31166, 'lng': 47.481766}",21 Days,2 Days,2 Days,3 Days
P106,Kyiv,"{'lat': 50.4501, 'lng': 30.5234}",Closed,Closed,Closed,Closed
P107,La Paz,"{'lat': -16.489689, 'lng': -68.11929359999999}",65 Days,21 Days,1 Days,3 Days
P108,Lagos,"{'lat': 6.5243793, 'lng': 3.3792057}",749 Days,6 Days,6 Days,3 Days
lahore,Lahore,"{'lat': 31.5203696, 'lng': 74.35874729999999}",Closed,Closed,Closed,Closed
P109,Libreville,"{'lat': 0.4161976, 'lng': 9.4672676}",98 Days,30 Days,98 Days,10 Days
P110,Lilongwe,"{'lat': -13.9626121, 'lng': 33.7741195}",85 Days,10 Days,10 Days,3 Days
P111,Lima,"{'lat': -12.0463731, 'lng': -77.042754}",Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P112,Lisbon,"{'lat': 38.7222524, 'lng': -9.1393366}",60 Days,12 Days,5 Days,5 Days
P113,Ljubljana,"{'lat': 46.0569465, 'lng': 14.5057515}",7 Days,7 Days,7 Days,3 Days
lome,Lome,"{'lat': 6.1256261, 'lng': 1.2254183}",120 Days,120 Days,120 Days,3 Days
P115,London,"{'lat': 51.5072178, 'lng': -0.1275862}",62 Days,18 Days,32 Days,2 Days
P116,Luanda,"{'lat': -8.8146556, 'lng': 13.2301756}",24 Days,5 Days,3 Days,4 Days
P117,Lusaka,"{'lat': -15.3875259, 'lng': 28.3228165}",16 Days,9 Days,16 Days,2 Days
P118,Luxembourg,"{'lat': 49.815273, 'lng': 6.129582999999999}",65 Days,7 Days,20 Days,5 Days
P119,Madrid,"{'lat': 40.4167754, 'lng': -3.7037902}",388 Days,94 Days,137 Days,1 Days
P120,Majuro,"{'lat': 7.066667, 'lng': 171.266667}",Closed,Closed,Closed,Closed
